movie,studio,production_budget,domestic_gross,worldwide_gross,release_month,foreign_gross,net_profit
Inferno,Sony,75000000.0,34343574.0,219519367.0,October,185175793.0,144519367.0
Lights Out,WB (NL),5000000.0,67268835.0,148806510.0,July,81537675.0,143806510.0
Battle: Los Angeles,Sony,70000000.0,83552429.0,213463976.0,March,129911547.0,143463976.0
Alien: Covenant,Fox,97000000.0,74262031.0,238521247.0,May,164259216.0,141521247.0
Pitch Perfect 3,Uni.,45000000.0,104897530.0,185736412.0,December,80838882.0,140736412.0
Looper,TriS,30000000.0,66486205.0,170466405.0,September,103980200.0,140466405.0
Identity Thief,Uni.,35000000.0,134506920.0,175361578.0,February,40854658.0,140361578.0
The Equalizer,Sony,55000000.0,101530738.0,192903624.0,September,91372886.0,137903624.0
Paranormal Activity 4,Par.,5000000.0,53900335.0,142817992.0,October,88917657.0,137817992.0
Smurfs: The Lost Village,Sony,60000000.0,45020282.0,197578586.0,April,152558304.0,137578586.0
Lion,Wein.,12000000.0,51739495.0,149570720.0,November,97831225.0,137570720.0
Creed,WB (NL),37000000.0,109767581.0,173567581.0,November,63800000.0,136567581.0
Immortals,Rela.,75000000.0,83504017.0,211562435.0,November,128058418.0,136562435.0
Red,Sum.,60000000.0,90380162.0,196439693.0,October,106059531.0,136439693.0
London Has Fallen,Focus,60000000.0,62524260.0,195194085.0,March,132669825.0,135194085.0
Just Go With It,Sony,80000000.0,103028109.0,214974953.0,February,111946844.0,134974953.0
Smallfoot,WB,80000000.0,83240103.0,213691277.0,September,130451174.0,133691277.0
Mama,Uni.,15000000.0,71628180.0,148095566.0,January,76467386.0,133095566.0
The Grand Budapest Hotel,FoxS,31000000.0,59076019.0,163981261.0,March,104905242.0,132981261.0
Step Up Revolution,LG/S,33000000.0,35074677.0,165552290.0,July,130477613.0,132552290.0
Midnight in Paris,SPC,30000000.0,56816662.0,162502774.0,May,105686112.0,132502774.0
John Wick: Chapter Two,LG/S,40000000.0,92029184.0,171350009.0,February,79320825.0,131350009.0
In Time,Fox,35000000.0,37553932.0,165103952.0,October,127550020.0,130103952.0
The Post,Fox,50000000.0,81903458.0,179748880.0,December,97845422.0,129748880.0
The Impossible,LG/S,40000000.0,19019882.0,169590606.0,December,150570724.0,129590606.0
Flight,Par.,31000000.0,93772375.0,160558438.0,November,66786063.0,129558438.0
